step,time,u_avg,u_exact_avg
1592,0.351333,0.061006,0.061030
1596,0.352216,0.060778,0.060803
1600,0.353099,0.060551,0.060576
1604,0.353981,0.060325,0.060350
1608,0.354864,0.060100,0.060125
1612,0.355747,0.059876,0.059900
1616,0.356630,0.059652,0.059677
1620,0.357512,0.059430,0.059454
1624,0.358395,0.059208,0.059232
1628,0.359278,0.058987,0.059011
1632,0.360161,0.058767,0.058791
1636,0.361043,0.058548,0.058572
1640,0.361926,0.058329,0.058353
1644,0.362809,0.058111,0.058136
1648,0.363692,0.057895,0.057919
1652,0.364574,0.057679,0.057703
1656,0.365457,0.057463,0.057488
1660,0.366340,0.057249,0.057273
1664,0.367223,0.057035,0.057059
1668,0.368105,0.056822,0.056847
1672,0.368988,0.056610,0.056634
1676,0.369871,0.056399,0.056423
1680,0.370753,0.056189,0.056213
1684,0.371636,0.055979,0.056003
1688,0.372519,0.055770,0.055794
1692,0.373402,0.055562,0.055586
1696,0.374284,0.055355,0.055379
1700,0.375167,0.055148,0.055172
1704,0.376050,0.054942,0.054966
1708,0.376933,0.054737,0.054761
1712,0.377815,0.054533,0.054557
1716,0.378698,0.054329,0.054353
1720,0.379581,0.054127,0.054150
1724,0.380464,0.053925,0.053948
1728,0.381346,0.053724,0.053747
1732,0.382229,0.053523,0.053547
1736,0.383112,0.053323,0.053347
1740,0.383995,0.053124,0.053148
1744,0.384877,0.052926,0.052950
1748,0.385760,0.052729,0.052752
1752,0.386643,0.052532,0.052555
1756,0.387526,0.052336,0.052359
1760,0.388408,0.052141,0.052164
1764,0.389291,0.051946,0.051969
1768,0.390174,0.051752,0.051775
1772,0.391057,0.051559,0.051582
1776,0.391939,0.051367,0.051390
1780,0.392822,0.051175,0.051198
1784,0.393705,0.050984,0.051007
1788,0.394588,0.050794,0.050817
1792,0.395470,0.050604,0.050627
1796,0.396353,0.050415,0.050438
1800,0.397236,0.050227,0.050250
1804,0.398119,0.050040,0.050063
1808,0.399001,0.049853,0.049876
1812,0.399884,0.049667,0.049690
1816,0.400767,0.049482,0.049505
1820,0.401650,0.049297,0.049320
1824,0.402532,0.049113,0.049136
1828,0.403415,0.048930,0.048953
1832,0.404298,0.048747,0.048770
1836,0.405181,0.048565,0.048588
1840,0.406063,0.048384,0.048407
1844,0.406946,0.048203,0.048226
1848,0.407829,0.048024,0.048046
1852,0.408712,0.047844,0.047867
1856,0.409594,0.047666,0.047688
1860,0.410477,0.047488,0.047510
1864,0.411360,0.047311,0.047333
1868,0.412243,0.047134,0.047157
1872,0.413125,0.046958,0.046981
1876,0.414008,0.046783,0.046805
1880,0.414891,0.046609,0.046631
1884,0.415774,0.046435,0.046457
1888,0.416656,0.046261,0.046284
1892,0.417539,0.046089,0.046111
1896,0.418422,0.045917,0.045939
1900,0.419305,0.045745,0.045768
1904,0.420187,0.045575,0.045597
1908,0.421070,0.045405,0.045427
1912,0.421953,0.045235,0.045257
1916,0.422836,0.045066,0.045088
1920,0.423718,0.044898,0.044920
1924,0.424601,0.044731,0.044753
1928,0.425484,0.044564,0.044586
1932,0.426367,0.044397,0.044419
1936,0.427249,0.044232,0.044254
1940,0.428132,0.044067,0.044088
1944,0.429015,0.043902,0.043924
1948,0.429898,0.043738,0.043760
1952,0.430780,0.043575,0.043597
1956,0.431663,0.043413,0.043434
1960,0.432546,0.043251,0.043272
1964,0.433428,0.043089,0.043111
1968,0.434311,0.042928,0.042950
1972,0.435194,0.042768,0.042790
1976,0.436077,0.042609,0.042630
1980,0.436959,0.042450,0.042471
1984,0.437842,0.042291,0.042313
1988,0.438725,0.042133,0.042155
1992,0.439608,0.041976,0.041997
1996,0.440490,0.041820,0.041841
2000,0.441373,0.041663,0.041685
2004,0.442256,0.041508,0.041529
2008,0.443139,0.041353,0.041374
2012,0.444021,0.041199,0.041220
2016,0.444904,0.041045,0.041066
2020,0.445787,0.040892,0.040913
2024,0.446670,0.040739,0.040760
2028,0.447552,0.040587,0.040608
2032,0.448435,0.040436,0.040457
2036,0.449318,0.040285,0.040306
2040,0.450201,0.040135,0.040155
2044,0.451083,0.039985,0.040006
2048,0.451966,0.039836,0.039856
2052,0.452849,0.039687,0.039708
2056,0.453732,0.039539,0.039560
2060,0.454614,0.039391,0.039412
2064,0.455497,0.039244,0.039265
2068,0.456380,0.039098,0.039118
2072,0.457263,0.038952,0.038973
2076,0.458145,0.038807,0.038827
2080,0.459028,0.038662,0.038682
2084,0.459911,0.038518,0.038538
2088,0.460794,0.038374,0.038394
2092,0.461676,0.038231,0.038251
2096,0.462559,0.038088,0.038108
2100,0.463442,0.037946,0.037966
2104,0.464325,0.037804,0.037824
2108,0.465207,0.037663,0.037683
2112,0.466090,0.037523,0.037543
2116,0.466973,0.037383,0.037403
2120,0.467856,0.037243,0.037263
2124,0.468738,0.037104,0.037124
2128,0.469621,0.036966,0.036986
2132,0.470504,0.036828,0.036848
2136,0.471387,0.036690,0.036710
2140,0.472269,0.036553,0.036573
