step,time,u_avg_total,u_avg_cube
109800,322.001709,20.394953,29.000664
110000,322.588226,20.394943,28.987991
110200,323.174744,20.394936,28.975391
110400,323.761261,20.394926,28.962805
110600,324.347809,20.394915,28.950218
110800,324.934326,20.394905,28.937634
111000,325.520844,20.394896,28.925051
111200,326.107361,20.394886,28.912472
111400,326.693909,20.394876,28.899912
111600,327.280426,20.394865,28.887423
111800,327.866943,20.394854,28.875017
112000,328.453461,20.394844,28.862627
112200,329.039978,20.394833,28.850254
112400,329.626526,20.394823,28.837965
112600,330.213043,20.394814,28.825747
112800,330.799561,20.394802,28.813540
113000,331.386078,20.394793,28.801336
113200,331.972626,20.394783,28.789131
113400,332.559143,20.394772,28.776932
113600,333.145660,20.394762,28.764738
113800,333.732178,20.394753,28.752583
114000,334.318695,20.394741,28.740503
114200,334.905243,20.394732,28.728487
114400,335.491760,20.394722,28.716475
114600,336.078278,20.394712,28.704485
114800,336.664795,20.394701,28.692579
115000,337.251312,20.394691,28.680750
115200,337.837860,20.394682,28.668924
115400,338.424377,20.394672,28.657101
115600,339.010895,20.394661,28.645277
115800,339.597412,20.394651,28.633457
116000,340.183960,20.394640,28.621641
116200,340.770477,20.394629,28.609831
116400,341.356995,20.394617,28.598051
116600,341.943512,20.394608,28.586365
116800,342.530029,20.394596,28.574732
117000,343.116577,20.394585,28.563099
117200,343.703094,20.394575,28.551491
117400,344.289612,20.394566,28.539953
117600,344.876129,20.394556,28.528490
117800,345.462677,20.394547,28.517046
118000,346.049194,20.394537,28.505604
118200,346.635712,20.394526,28.494162
118400,347.222229,20.394516,28.482721
118600,347.808746,20.394506,28.471285
118800,348.395294,20.394497,28.459854
119000,348.981812,20.394485,28.448471
119200,349.568329,20.394478,28.437157
119400,350.154846,20.394468,28.425900
119600,350.741394,20.394459,28.414648
119800,351.327911,20.394449,28.403408
120000,351.914429,20.394440,28.392239
120200,352.500946,20.394430,28.381136
120400,353.087463,20.394421,28.370073
120600,353.674011,20.394413,28.359013
120800,354.260529,20.394403,28.347950
121000,354.847046,20.394394,28.336891
121200,355.433563,20.394384,28.325834
121400,356.020111,20.394373,28.314777
121600,356.606628,20.394363,28.303730
121800,357.193146,20.394352,28.292700
122000,357.779663,20.394342,28.281734
122200,358.366180,20.394333,28.270857
